"","QB_ID","Peer_assessment_of_QBs_school","Week","Incompetence","Athleticism","Competence","Lack_of_athleticism","QB_race","Performance","QB_race_x_Performance","Words_published_per_QB_per_interval","Source_of_phrase","Rushing_yards","Evaluative_phrases_negative","Evaluative_phrases_positive"
"405",11081,3,1,0,0,0,0,1,0,0,0,0.53,-21,0,0
"406",11081,3,4,2,0,1,1,1,0,0,1099,0,NA,0,2
"407",11081,3,7,0,0,0,0,1,1,1,0,0,NA,0,0
"408",11081,3,10,0,1,2,0,1,1,1,700,0,NA,0,0
"409",11091,2.2,1,0,0,0,0,1,1,1,0,0,0,0,0
"410",11091,2.2,4,0,0,0,0,1,1,1,0,0,NA,0,0
"411",11091,2.2,7,0,6,28,5,1,0,0,1022,0,21,0,1
"412",11091,2.2,10,0,6,2,0,1,0,0,441,0,0,0,2
"413",11101,4,1,0,0,0,0,1,1,1,0,0,40,0,0
"414",11101,4,4,0,1,10,0,1,NA,0,462,0.2,42,0,1
"415",11101,4,7,0,0,0,0,1,0,0,522,0,85,1,1
"416",11101,4,10,0,0,4,0,1,1,1,439,0,44,0,2
"417",11111,4.3,1,0,0,0,0,1,0,0,0,0,17,0,0
"418",11111,4.3,4,0,2,2,1,1,1,1,1672,0.5,40,1,2
"419",11111,4.3,7,0,2,0,1,1,1,1,1347,0,NA,3,1
"420",11111,4.3,10,3,1,1,1,1,0,0,2138,0,NA,0,1
"421",11122,3.3,1,0,0,0,0,1,NA,0,0,0.36,129,0,0
"422",11122,3.3,4,0,11,11,0,1,1,1,1414,0,1,0,3
"423",11122,3.3,7,3,0,0,0,1,1,1,648,0,28,0,0
"424",11122,3.3,10,0,1,0,0,1,NA,0,1918,0,9,1,0
"425",11131,3.5,1,0,0,0,0,0,0,0,0,0,NA,0,0
"426",11131,3.5,4,0,1,5,0,0,1,0,1465,0,3,1,0
"427",11131,3.5,7,1,1,3,0,0,1,0,1043,0,17,0,1
"428",11131,3.5,10,0,0,3,0,0,1,0,1021,0,-6,0,0
"429",11141,3.8,1,1,0,4,0,0,1,0,1538,0,-9,0,4
"430",11141,3.8,4,1,1,8,0,0,0,0,2196,0,-27,2,3
"431",11141,3.8,7,0,2,0,0,0,0,0,1089,0,3,1,0
"432",11141,3.8,10,0,3,8,0,0,0,0,1524,0,-4,0,5
"433",11151,3,1,0,4,0,0,0,0,0,617,0,-4,0,1
"434",11151,3,4,0,0,0,0,0,0,0,714,0,0,0,0
"435",11151,3,7,1,0,0,0,0,0,0,715,0.53,-34,2,0
"436",11151,3,10,0,0,0,0,0,1,0,0,0,0,0,0
"437",11161,2.5,1,0,8,0,0,1,1,1,649,0,15,0,2
"438",11161,2.5,4,0,19,13,1,1,1,1,3779,0.17,NA,1,15
"439",11161,2.5,7,0,5,1,0,1,NA,0,1372,0.5,10,0,1
"440",11161,2.5,10,0,10,3,0,1,1,1,1768,0.33,42,0,5
"441",11172,2.4,1,0,0,0,0,0,0,0,649,0,NA,0,0
"442",11172,2.4,4,0,0,1,4,0,1,0,1364,0.6,52,1,0
"443",11172,2.4,7,0,2,1,1,0,1,0,1504,0,15,0,1
"444",11172,2.4,10,1,0,0,0,0,0,0,846,0,NA,0,0
"445",11181,4.1,1,0,0,3,0,0,1,0,759,0.63,97,0,2
"446",11181,4.1,4,0,1,8,1,0,1,0,1661,0.41,42,0,0
"447",11181,4.1,7,0,0,0,0,0,0,0,0,0.17,NA,0,0
"448",11181,4.1,10,0,0,0,0,0,1,0,715,0,156,1,0
"449",11192,4.1,1,0,0,0,0,0,1,0,0,0,41,0,0
"450",11192,4.1,4,0,0,0,0,0,1,0,0,0,82,0,0
"451",11192,4.1,7,0,0,0,0,0,0,0,1139,0,NA,0,1
"452",11192,4.1,10,1,0,0,0,0,1,0,1209,0,NA,1,0
